upper,COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,VTOTAL,VRATE,MURDER,RAPE,ROBBERY,ASSAULT,PTOTAL,PRATE,ARSON,BURGLARY,THEFT,MVTHEFT
ADAMS,Adams,1994,Adams County Sheriffs Office,8070,237,29.4,20,2.5,0,3,1,16,217,27,6,47,142,22
ADAMS,Adams,1995,Adams County Sheriffs Office,8215,332,40.4,24,2.9,3,3,3,15,308,38,3,85,201,19
ADAMS,Adams,1996,Adams County Sheriffs Office,8390,306,36.5,14,1.7,1,1,2,10,292,35,10,66,196,20
ADAMS,Adams,1997,Adams County Sheriffs Office,8630,252,29.2,29,3.4,1,7,0,21,223,26,0,86,118,19
ADAMS,Adams,1998,Adams County Sheriffs Office,8710,285,32.7,20,2.3,0,4,1,15,265,30,8,96,143,18
ADAMS,Adams,1999,Adams County Sheriffs Office,8710,226,25.9,22,2.5,1,2,3,16,204,23,2,76,113,13
ADAMS,Adams,2000,Adams County Sheriffs Office,8625,221,25.6,19,2.2,0,7,0,12,202,23,5,64,118,15
ADAMS,Adams,2001,Adams County Sheriffs Office,8960,215,24,24,2.7,0,10,3,11,191,21,6,56,113,16
ADAMS,Adams,2002,Adams County Sheriffs Office,8970,323,36,12,1.3,0,3,3,6,311,35,3,106,180,22
ADAMS,Adams,2003,Adams County Sheriffs Office,8895,375,42.2,24,2.7,0,12,2,10,351,40,7,115,196,33
ADAMS,Adams,2004,Adams County Sheriffs Office,8910,361,40.5,29,3.3,0,4,2,23,332,37,2,120,189,21
ADAMS,Adams,2005,Adams County Sheriffs Office,9150,321,35.1,35,3.8,1,6,6,22,286,31,3,86,167,30
ADAMS,Adams,2006,Adams County Sheriffs Office,9365,296,31.6,16,1.7,0,3,1,12,280,30,3,84,171,22
ADAMS,Adams,2007,Adams County Sheriffs Office,9530,320,33.6,16,1.7,1,6,2,7,304,32,7,87,187,23
ADAMS,Adams,2008,Adams County Sheriffs Office,9565,331,34.6,27,2.8,0,5,1,21,304,32,2,93,173,36
ADAMS,Adams,2009,Adams County Sheriffs Office,9665,288,29.8,24,2.5,1,4,7,12,264,27,5,97,130,32
ADAMS,Adams,2010,Adams County Sheriffs Office,9755,350,35.9,23,2.4,0,5,4,14,327,34,6,129,160,32
ADAMS,Adams,2011,Adams County Sheriffs Office,9825,317,32.3,23,2.3,0,3,6,14,294,30,6,107,152,29
ADAMS,Adams,1994,COUNTY TOTAL,14600,888,60.8,67,4.6,0,5,5,57,821,56,7,132,628,54
ADAMS,Adams,1995,COUNTY TOTAL,15200,967,63.6,46,3,4,5,3,34,921,61,3,150,733,35
ADAMS,Adams,1996,COUNTY TOTAL,15400,903,58.6,54,3.5,1,6,5,42,849,55,11,142,653,43
ADAMS,Adams,1997,COUNTY TOTAL,15800,766,48.5,58,3.7,1,9,2,46,708,45,8,185,479,36
ADAMS,Adams,1998,COUNTY TOTAL,15900,751,47.2,47,3,0,10,5,32,704,44,15,205,447,37
