"","upper","COUNTY","INDEXYEAR","LOCATION","POPULATION","TOTAL","RATE","VTOTAL","VRATE","MURDER","RAPE","ROBBERY","ASSAULT","PTOTAL","PRATE","ARSON","BURGLARY","THEFT","MVTHEFT"
"1","ADAMS","Adams",1994,"COUNTY TOTAL",14600,888,60.8,67,4.6,0,5,5,57,821,56,7,132,628,54
"2","ADAMS","Adams",1995,"COUNTY TOTAL",15200,967,63.6,46,3,4,5,3,34,921,61,3,150,733,35
"3","ADAMS","Adams",1996,"COUNTY TOTAL",15400,903,58.6,54,3.5,1,6,5,42,849,55,11,142,653,43
"4","ADAMS","Adams",1997,"COUNTY TOTAL",15800,766,48.5,58,3.7,1,9,2,46,708,45,8,185,479,36
"5","ADAMS","Adams",1998,"COUNTY TOTAL",15900,751,47.2,47,3,0,10,5,32,704,44,15,205,447,37
"6","ADAMS","Adams",1999,"COUNTY TOTAL",15900,662,41.6,51,3.2,1,4,4,42,611,38,6,168,411,26
"7","ADAMS","Adams",2000,"COUNTY TOTAL",15800,671,42.5,40,2.5,0,14,5,21,631,40,7,161,429,34
"8","ADAMS","Adams",2001,"COUNTY TOTAL",16600,695,41.9,44,2.7,0,12,7,25,651,39,10,109,490,42
"9","ADAMS","Adams",2002,"COUNTY TOTAL",16600,830,50,25,1.5,0,5,4,16,805,49,8,173,575,49
"10","ADAMS","Adams",2003,"COUNTY TOTAL",16600,1053,63.4,42,2.5,0,16,4,22,1011,61,8,226,700,77
"11","ADAMS","Adams",2004,"COUNTY TOTAL",16700,1008,60.4,61,3.7,0,9,11,41,947,57,8,265,624,50
"12","ADAMS","Adams",2005,"COUNTY TOTAL",17000,791,46.5,57,3.4,1,14,13,29,734,43,7,158,505,64
"13","ADAMS","Adams",2006,"COUNTY TOTAL",17300,850,49.1,33,1.9,1,7,1,24,817,47,5,172,591,49
"14","ADAMS","Adams",2007,"COUNTY TOTAL",17600,1052,59.8,41,2.3,2,9,4,26,1011,57,9,255,675,72
"15","ADAMS","Adams",2008,"COUNTY TOTAL",17800,958,53.8,57,3.2,0,9,5,43,901,51,5,183,631,82
"16","ADAMS","Adams",2009,"COUNTY TOTAL",18000,852,47.3,57,3.2,1,6,19,31,795,44,10,185,525,75
"17","ADAMS","Adams",2010,"COUNTY TOTAL",18300,929,50.8,56,3.1,1,8,10,37,873,48,6,229,566,72
"18","ADAMS","Adams",2011,"COUNTY TOTAL",18950,873,46.1,53,2.8,0,4,10,39,820,43,9,209,537,65
"19","ASOTIN","Asotin",1994,"COUNTY TOTAL",17792,928,52.2,72,4,1,6,3,62,856,48,4,156,662,34
"20","ASOTIN","Asotin",1995,"COUNTY TOTAL",18020,1271,70.5,64,3.6,0,12,3,49,1207,67,7,217,901,82
"21","ASOTIN","Asotin",1996,"COUNTY TOTAL",19600,1207,61.6,61,3.1,0,15,4,42,1146,59,3,190,880,73
"22","ASOTIN","Asotin",1997,"COUNTY TOTAL",19700,1125,57.1,38,1.9,0,10,3,25,1087,55,4,172,861,50
"23","ASOTIN","Asotin",1998,"COUNTY TOTAL",20000,1001,50.1,47,2.4,1,10,7,29,954,48,7,208,679,60
"24","ASOTIN","Asotin",1999,"COUNTY TOTAL",20000,902,45.1,38,1.9,1,7,3,27,864,43,2,184,645,33
"25","ASOTIN","Asotin",2000,"COUNTY TOTAL",20000,897,44.9,43,2.2,1,9,5,28,854,43,2,125,686,41
"26","ASOTIN","Asotin",2001,"COUNTY TOTAL",20700,1003,48.5,59,2.9,0,7,11,41,944,46,15,189,709,31
"27","ASOTIN","Asotin",2002,"COUNTY TOTAL",20700,860,41.5,49,2.4,0,16,2,31,811,39,1,163,603,44
"28","ASOTIN","Asotin",2003,"COUNTY TOTAL",20600,853,41.4,46,2.2,0,6,4,36,807,39,4,172,581,50
"29","ASOTIN","Asotin",2004,"COUNTY TOTAL",20700,795,38.4,48,2.3,1,5,1,41,747,36,7,129,554,57
"30","ASOTIN","Asotin",2005,"COUNTY TOTAL",20900,660,31.6,44,2.1,1,6,7,30,616,30,4,60,504,48
"31","ASOTIN","Asotin",2006,"COUNTY TOTAL",21100,598,28.3,30,1.4,0,2,0,28,568,27,1,84,440,43
"32","ASOTIN","Asotin",2007,"COUNTY TOTAL",21300,576,27,33,1.5,0,1,5,27,543,26,3,72,434,34
"33","ASOTIN","Asotin",2008,"COUNTY TOTAL",21400,604,28.2,39,1.8,1,2,4,32,565,26,0,82,471,12
"34","ASOTIN","Asotin",2009,"COUNTY TOTAL",21500,609,28.3,49,2.3,0,3,7,39,560,26,0,102,425,33
"35","ASOTIN","Asotin",2010,"COUNTY TOTAL",21700,614,28.3,39,1.8,1,8,2,28,575,27,4,89,469,13
"36","ASOTIN","Asotin",2011,"COUNTY TOTAL",21650,695,32.1,36,1.7,0,0,2,34,659,30,2,110,533,14
"37","BENTON","Benton",1994,"COUNTY TOTAL",127000,6225,49,400,3.1,4,70,61,265,5825,46,45,802,4752,226
"38","BENTON","Benton",1995,"COUNTY TOTAL",131000,6875,52.5,433,3.3,7,61,69,296,6442,49,60,1005,5004,373
"39","BENTON","Benton",1996,"COUNTY TOTAL",131000,5929,45.3,328,2.5,4,56,53,215,5601,43,58,949,4330,264
"40","BENTON","Benton",1997,"COUNTY TOTAL",134100,6120,45.6,361,2.7,1,59,50,251,5759,43,48,1010,4367,334
"41","BENTON","Benton",1998,"COUNTY TOTAL",137500,6245,45.4,401,2.9,7,57,71,266,5844,43,61,967,4546,270
"42","BENTON","Benton",1999,"COUNTY TOTAL",138900,5364,38.6,340,2.4,1,56,48,235,5024,36,74,822,3886,242
